,Sentence1,Sentence2,Sentence1_embedding,Sentence2_embedding
630,The bears hibernate soundly,The bears hibernated soundly,"[ 0.01395218  0.5701528  -0.92652583 ... -2.6230175   2.0096972
  2.3114398 ]","[ 0.86741287  0.40721422 -0.84848446 ... -2.403012    2.2526755
  2.5028393 ]"
631,The lions stalk silently,The lions stalked silently,"[ 2.2105901   0.45803362 -0.10371649 ...  0.15640685 -1.6279234
  4.1739545 ]","[ 1.5442629   0.32631645 -0.14611648 ...  0.0887465  -1.4446609
  3.5633094 ]"
632,The tigers prowl stealthily,The tigers prowled stealthily,[ 1.522477  -0.1857831 -0.5184352 ... -0.2955406 -0.7174929  3.002262 ],"[ 1.751973   -0.77679634 -0.4423673  ... -0.5481279  -0.72939867
  3.1996434 ]"
633,Elephants roam freely,Elephants roamed freely,"[ 2.6291127  -1.4528126  -1.1884499  ... -1.1459934  -0.16993351
  1.6965209 ]",[ 2.0065796  0.2698957  0.3349886 ... -0.4225483 -0.1356399  1.2692955]
634,Giraffes reach high leaves,Giraffes reached high leaves,"[-1.8594044  -1.5181206   1.8220383  ... -0.66924465 -1.8602058
  1.5475569 ]","[-1.5964192  -1.4477298   1.4833616  ... -0.93189925 -0.73932487
  2.342994  ]"
635,Zebras graze peacefully,Zebras grazed peacefully,[-1.6794598 -1.507891   2.8430111 ...  0.107608  -2.5681922  4.490184 ],"[-0.77643365 -2.2314095   1.1855532  ... -1.2817743  -2.267261
  5.475444  ]"
636,Monkeys swing playfully,Monkeys swung playfully,"[ 1.1901984  -1.011318   -0.02846618 ... -0.5153572   0.34372965
  1.7012072 ]","[ 1.1336582  -1.8881623   0.09730606 ... -1.3049046   0.5984685
  2.0741582 ]"
637,Parrots squawk loudly,Parrots squawked loudly,"[-1.1087043   1.7428777  -0.05204332 ... -1.667827   -0.23428912
  1.9880829 ]","[-1.6121007   1.5417663  -0.2980654  ... -1.1820668  -0.01535163
  1.8239961 ]"
638,Peacocks display proudly,Peacocks displayed proudly,"[-0.8968145  -1.0997345   0.03208499 ... -1.7007887  -1.978014
  2.3829865 ]","[-0.9824381  -1.3702822  -0.39485246 ... -1.9760027  -1.5804247
  2.4462428 ]"
639,Ostriches run rapidly,Ostriches ran rapidly,"[-1.7753412   1.4459766   1.973832   ... -2.5581703   0.24192278
  2.8169248 ]","[-1.555868    0.71137637  1.5009996  ... -2.8256721   0.6406854
  2.3024395 ]"
640,Kangaroos hop effortlessly,Kangaroos hopped effortlessly,[ 1.0954252 -1.1218443  1.8853735 ...  0.0637824  1.9635843  2.799839 ],"[ 0.52400297 -1.3611313   1.8236057  ...  0.38430914  2.5837262
  2.1103485 ]"
641,Koalas sleep soundly,Koalas slept soundly,[-1.2340916 -1.1318134  0.3296121 ... -0.1754448  2.8119009  0.6088513],"[-0.39492935 -1.5223196  -0.39215264 ... -0.58206767  3.0265026
  1.7412555 ]"
642,Pandas eat bamboo shoots,Pandas ate bamboo shoots,"[-1.1019986   2.9303207   0.17963602 ...  0.13204385 -1.4145548
  2.1679962 ]","[-0.77287304  1.2148631   0.86742574 ... -1.1128548   0.31406298
  2.5855694 ]"
643,Lions stalk prey patiently,Lions stalked prey patiently,"[ 0.6256221  -0.08395574  0.16646902 ... -0.74060136 -2.6415396
  4.2677364 ]","[ 0.36590278 -1.023948   -0.31345737 ... -0.37138328 -1.372323
  3.6378114 ]"
644,Tigers prowl silently,Tigers prowled silently,"[ 0.98973256  0.25766832 -1.0289652  ... -0.52735674 -0.7075015
  3.2347515 ]","[ 2.6574693  -0.96035683 -0.7478295  ... -0.7148906  -0.02839611
  3.6938815 ]"
645,Bears lumber slowly,Bears lumbered slowly,"[ 2.999478   -2.126419    0.12837291 ... -3.0572379   3.261141
  3.517172  ]","[ 1.8248144  -3.1882513  -0.25638756 ... -2.8638446   3.7692401
  2.8030396 ]"
646,Wolves howl at the moon,Wolves howled at the moon,"[-0.5184364   0.05954344 -1.882856   ... -1.6410358  -0.2545535
  2.6933122 ]","[-0.71773916  0.03140579 -2.4166226  ... -1.0823678   0.32292217
  2.7499988 ]"
647,Foxes hunt cleverly,Foxes hunted cleverly,"[ 0.8147254   0.32915166 -0.3070168  ... -3.3451557  -2.579192
  3.5082626 ]",[ 1.0134786  0.6540167 -1.0326388 ... -3.8042846 -0.7459056  2.6146293]
648,Rabbits twitch their noses,Rabbits twitched their noses,[ 1.8565813  1.190602   2.440192  ... -1.8405882 -2.2524068  1.4924299],[ 1.6402884  0.8466698  1.3711911 ... -1.3608903 -2.5049095  1.4543628]
649,Deer leap gracefully,Deer leaped gracefully,"[ 3.1200185  -1.7176251  -0.93735504 ... -1.1622458  -1.192373
  4.3886814 ]","[ 1.4665043  -0.40608448 -0.91269237 ... -2.7571652   0.09403829
  2.9024463 ]"
650,Squirrels scamper quickly,Squirrels scampered quickly,"[ 1.6336216  -0.15770613  0.09995935 ... -1.943667    0.05213988
  1.5966014 ]","[ 1.1201121  -0.30777296  0.12865542 ... -1.8925828   0.5626816
  1.4008802 ]"
651,Birds build nests carefully,Birds built nests carefully,"[ 3.3089535   1.5433156   1.0875705  ... -3.1941063  -0.24292445
  1.1908147 ]","[ 4.001471    0.36890802  1.005914   ... -2.577886    0.322776
  1.5991398 ]"
652,Fish swim underwater,Fish swam underwater,"[-0.49563488  4.2350254   0.70380515 ... -0.7417     -3.9842517
  4.4657702 ]","[-1.0598445   1.3095938   0.9421115  ... -0.63841605 -1.773478
  2.3956795 ]"
653,Whales sing underwater songs,Whales sang underwater songs,"[-0.32773435  3.0880148   3.5087676  ... -0.57048154 -2.4782834
 -1.798312  ]",[-0.7304922  1.8653927  1.9654915 ... -1.2684978 -0.857968  -0.8371812]
654,Dolphins leap and play,Dolphins leaped and played,[ 0.2585249  1.713025  -1.3150553 ...  0.9192621 -3.197417   3.2463877],"[-0.35101643  1.8057709  -0.5176792  ...  0.10899537 -1.9165056
  2.3180518 ]"
655,Sharks swim powerfully,Sharks swam powerfully,"[-0.43802446  2.3784459   0.67818177 ... -1.7183666  -4.4214907
  2.956661  ]","[-0.12122563  0.07715676  1.4110693  ... -0.82691044 -3.0862324
  1.8811024 ]"
656,Jellyfish drift aimlessly,Jellyfish drifted aimlessly,"[ 1.3583989  -1.6248446   1.2543105  ... -0.0086143  -2.0291464
  0.45713386]","[ 0.79570276 -1.8717203   0.39662048 ... -0.05366465 -2.1097882
  0.3759967 ]"
657,Crabs scuttle sideways,Crabs scuttled sideways,"[ 1.4794614   1.0740952   1.3728977  ...  0.9518881  -0.57907456
  3.4929497 ]","[ 1.2142743   0.42179385  1.3017758  ...  0.7033248  -0.00284613
  2.6137486 ]"
658,Seagulls cry loudly,Seagulls cried loudly,"[-0.13067994  1.3821865   0.37461296 ... -0.75871986 -0.5205724
  2.8735232 ]","[ 0.2460061   1.4658753  -0.17504272 ... -0.6274935  -0.5961551
  3.1192653 ]"
659,Pelicans dive gracefully,Pelicans dived gracefully,"[-1.2048566   1.6452341   0.32723004 ... -1.4684988  -0.25394183
  4.5131598 ]","[-2.047305    1.7073648  -0.2440916  ... -0.95480424  0.57844436
  4.8026495 ]"
660,Penguins waddle steadily,Penguins waddled steadily,[ 1.1652547 -1.7033733 -0.3855983 ... -1.143961   1.49165    2.1951394],[ 0.5219812 -1.6964779 -0.9690966 ... -1.1559466  1.5178434  2.6138496]
661,Seals swim smoothly,Seals swam smoothly,"[ 1.9360813   1.6603622   0.11433147 ... -3.1278877  -0.95358443
  2.766651  ]","[ 1.4301317   0.5432256   0.89557695 ... -2.1171935  -0.26921022
  1.6002524 ]"
662,Walruses rest on ice floes,Walruses rested on ice floes,"[-2.549662   -0.95690644  0.3382874  ... -1.8613188   2.5157835
  1.2233143 ]","[-1.6670394  -0.97136253  0.17355604 ... -1.6024668   3.001164
  1.2383888 ]"
663,Polar bears hunt seals expertly,Polar bears hunted seals expertly,[-0.1934651  2.5169952  0.8303574 ... -2.549579  -1.2852771  2.0835354],"[-0.43127853  2.8266199   0.3836657  ... -3.3745706  -0.09911676
  1.9261429 ]"
664,Arctic foxes survive harsh winters,Arctic foxes survived harsh winters,"[ 2.177186    0.6397998  -0.37478206 ... -1.8807496   0.03952958
  3.3565624 ]",[ 1.2981511  0.7825669 -0.5319614 ... -2.33445    0.8444742  3.617815 ]
665,Snowy owls hunt effectively,Snowy owls hunted effectively,[ 0.6245646 -2.2072763 -0.092188  ... -3.1030846 -1.5993494  0.9107874],"[ 0.19236664 -1.2310255  -0.21337228 ... -3.596515   -0.5093169
  0.7336871 ]"
666,Musk oxen defend their young,Musk oxen defended their young,"[-0.07702991  1.726323    1.3979696  ... -0.9142329  -0.31972602
  4.0504646 ]","[ 0.14150564  1.4355808   1.3331116  ... -0.8562547   0.15610763
  4.0746503 ]"
667,Caribou migrate long distances,Caribou migrated long distances,"[ 1.7843285  -1.872735   -1.1335316  ... -2.3698463  -0.11249182
  3.4188306 ]",[ 0.7331648 -1.9493879 -1.4508743 ... -2.8653076  0.7434638  3.8394184]
668,People live happily,People lived happily,"[ 0.44718102  0.8438887   1.3125     ... -1.2059928  -1.6165668
  1.5255952 ]","[ 0.5970895   0.5021079  -0.07732984 ... -2.1244316  -0.6732541
  1.2536167 ]"
669,Children learn quickly,Children learned quickly,"[-0.01810773  2.6259072   1.357396   ... -1.0312656  -0.14488482
  2.339643  ]","[ 0.40514466  2.4845614   0.06299829 ... -1.5442371   0.47726426
  2.5391157 ]"
670,Babies grow rapidly,Babies grew rapidly,"[ 1.185332    0.91283965  2.2203784  ... -2.4812     -2.9238846
  2.5602336 ]","[ 1.3782892   0.83937377  0.9331647  ... -1.6593267  -1.5146692
  2.3696291 ]"
671,Teenagers explore possibilities,Teenagers explored possibilities,"[-1.6978859   0.6313088   1.2985023  ...  0.5818699  -4.5771294
  0.53750575]","[-1.724505   -0.68417513  1.0823975  ... -0.12595013 -3.8226557
  0.7547662 ]"
672,Adults work hard daily,Adults worked hard daily,"[-3.2120926  -0.7444264   1.7647623  ...  1.5531423  -0.51798433
  3.2151604 ]","[-2.1849406  -0.61992395  0.12903874 ... -0.14070012  0.45443687
  2.371567  ]"
673,Seniors reflect peacefully,Seniors reflected peacefully,"[-1.2611673  -0.42517066 -0.46321452 ...  0.82409847 -1.8293464
  3.3995154 ]","[-1.1552752  -0.52455866  0.04240835 ...  0.17166686 -0.91817605
  3.071454  ]"
674,Students study diligently,Students studied diligently,"[-2.998581    2.1292713   0.66366863 ... -0.9299858  -2.5799296
  4.0803723 ]","[-2.797723    1.655232    0.15571888 ... -1.5908192  -1.7055154
  3.150326  ]"
675,Teachers explain concepts clearly,Teachers explained concepts clearly,[-2.0335832  3.5005026  0.7157819 ... -2.649225  -3.1272845  3.2878075],[-1.7620375  1.5263672  0.8287281 ... -2.9882045 -2.057665   2.8257062]
676,Doctors help patients recover,Doctors helped patients recover,[-0.2475927  9.290016   1.1390201 ...  0.5499746  2.175      2.9852834],[0.6250147  7.7606664  0.02974859 ... 0.05158055 2.436384   3.2520866 ]
677,Nurses provide excellent care,Nurses provided excellent care,[3.1893754  4.9678445  0.46564084 ... 0.52839226 1.2389247  3.0398834 ],[ 3.3795044  2.3454435  0.2645582 ... -0.9574269  1.9408964  2.8598466]
678,Firefighters extinguish fires bravely,Firefighters extinguished fires bravely,"[-0.5361286   5.792884    1.1030372  ... -0.87872094 -4.6517663
  1.0291095 ]",[-0.263878   4.3990164  1.0796818 ... -1.7674363 -4.4630117  1.052085 ]
679,Police officers maintain order,Police officers maintained order,"[ 0.72250426  4.009196   -1.7883992  ... -0.6386925  -2.43253
  1.4682701 ]","[ 0.6235245   3.5212755  -1.429883   ... -0.71231896 -1.7948592
  1.3817437 ]"
680,Soldiers protect their country,Soldiers protected their country,"[-1.5639317   7.752099    2.828678   ... -0.04514408 -1.5226395
  1.7014658 ]",[-0.4039608  5.804879   2.708199  ... -0.7954084 -0.7833447  2.1944442]
681,Scientists discover new things,Scientists discovered new things,"[-0.44999975  4.4639187   2.5526903  ... -0.27492547 -2.043488
  1.2700092 ]","[-0.01339424  3.9097388   1.8602793  ... -1.0825095  -0.29999948
 -0.09151825]"
682,Engineers design structures expertly,Engineers designed structures expertly,"[-1.8647023   3.7957008   1.1702884  ... -0.68127936 -2.403527
  2.6197236 ]",[-1.5288811  2.0810645  0.972902  ... -1.3918543 -1.5878543  1.8525208]
683,Writers create compelling stories,Writers created compelling stories,"[-2.4264004   1.133965    1.0543847  ... -0.50196075  1.7883761
  2.5456927 ]","[-1.8922875  -0.85645676  0.59475434 ... -1.3371412   1.7292477
  2.1125505 ]"
684,Artists paint beautiful pictures,Artists painted beautiful pictures,"[-1.5545561  -2.5049448   0.18179102 ... -0.91571    -2.1971753
  0.29513568]","[-0.63049924 -2.466845   -0.0753402  ... -1.0651722  -1.153926
 -0.41967043]"
685,Musicians perform beautifully,Musicians performed beautifully,"[-1.732428    0.34002596 -1.2967533  ... -1.9600532  -1.736794
  3.3511739 ]","[-1.6811132  -0.05820385 -1.4491137  ... -2.3237405  -1.3428862
  2.8886812 ]"
686,Singers perform on stage,Singers performed on stage,"[-3.353641    0.06314697 -3.3619766  ...  0.8751629  -2.0514255
  2.7850237 ]","[-2.6937256  -0.78233874 -2.8206954  ...  0.6823794  -0.9768071
  2.6951544 ]"
687,Dancers move gracefully,Dancers moved gracefully,"[-0.14849499 -2.241455   -1.1449623  ...  1.4503766  -1.3774676
  2.644147  ]","[ 0.22976747 -2.583343   -0.94071233 ...  1.2100009  -0.58746666
  2.6327186 ]"
688,Actors portray characters convincingly,Actors portrayed characters convincingly,"[-1.3688831   0.46019283 -1.0419066  ... -0.82065564 -2.296282
  2.7358158 ]","[-0.771965    0.14846416 -0.93454725 ... -1.8559033  -1.3263
  2.9286535 ]"
689,Directors guide films skillfully,Directors guided films skillfully,"[-0.1528816   1.2788267   0.51024586 ... -0.21390378  1.0481489
  2.676678  ]",[-1.3827146  0.4909638  0.4002265 ... -1.0495592  1.1022382  2.5772963]
690,Producers oversee productions,Producers oversaw productions,"[ 0.3807962  -0.18160737 -0.1170757  ...  0.259493   -1.175367
  3.5757244 ]","[ 0.05178522 -1.254892   -0.86116886 ...  1.1908506  -0.22290805
  3.1457152 ]"
691,Editors review carefully,Editors reviewed carefully,[ 1.5680319  0.5916671  1.5439019 ... -0.6156363 -1.0360037  3.4301016],"[ 1.347685    1.646697   -0.36941084 ... -2.0480063  -0.97122663
  2.8778057 ]"
692,Photographers capture images professionally,Photographers captured images professionally,"[-4.382575    0.27187353 -0.11132276 ...  0.3699262  -2.3309808
  2.5297883 ]",[-4.1995244 -1.2049536 -0.6193985 ... -0.5232328 -2.2177508  2.291184 ]
693,Painters create masterpieces,Painters created masterpieces,"[-2.7939186  -1.2762852   1.3523037  ... -0.28553432  0.6533188
  0.59142625]","[-1.876756   -2.1876595   0.9634546  ... -0.75744957  1.1193762
  0.6324291 ]"
694,Sculptors carve statues meticulously,Sculptors carved statues meticulously,"[-2.817425   -0.28266785 -0.00822605 ... -2.296087   -0.2411926
  2.5923321 ]","[-2.46725    -1.3489358  -0.13652793 ... -2.6428587   0.96523315
  2.2319121 ]"
695,Architects design innovative buildings,Architects designed innovative buildings,"[-2.4741166  -0.63419837 -0.36624876 ... -0.32997844 -1.503389
  1.5458546 ]","[-1.7361387  -2.472062   -0.57826495 ... -0.29820502 -1.3378872
  2.0583262 ]"
696,Builders construct sturdy homes,Builders constructed sturdy homes,"[-0.4393413   1.6327875   0.41164914 ...  0.4897259  -0.08346187
  1.0558307 ]","[-0.79432166 -0.03885165 -0.38127786 ... -1.180157    0.87068623
  1.7000484 ]"
697,Teachers inspire students,Teachers inspired students,"[-4.2862854   6.82881     0.0352002  ...  0.01053966 -3.321925
  2.2782652 ]","[-2.4689045   3.3843002  -0.3251513  ... -0.68804485 -1.9826746
  3.141338  ]"
698,Students achieve success,Students achieved success,"[-0.29456338  5.242455   -0.58040684 ... -0.47878668 -0.76976615
  2.6998656 ]","[ 0.9149992   3.871498   -0.62490815 ... -1.2855628   0.3275704
  3.237017  ]"
699,He speaks eloquently,He spoke eloquently,"[-2.9334064   2.913424   -0.07462935 ... -0.9175068  -3.7324204
  2.9208374 ]","[-2.3386617   1.9594872  -0.21777315 ... -2.3802915  -3.2945988
  2.7371507 ]"
700,She sings powerfully,She sang powerfully,[-1.6199594  5.429135   0.7233656 ... -2.6347027 -5.6262474  1.6086779],[-1.6965066  4.512223   0.2927244 ... -2.2121086 -3.7471957  1.6706254]
701,They dance gracefully,They danced gracefully,"[-0.8464224   0.5997071  -1.1644977  ... -0.03987255 -1.8556818
  3.905545  ]","[ 0.04656537 -0.0272251  -1.1640742  ... -1.1241198  -0.19184287
  3.4095924 ]"
702,We play harmoniously,We played harmoniously,"[ 0.37488374  1.2261236  -0.43953782 ... -2.6204247  -0.59098715
  3.018273  ]","[ 0.5473374   0.6346867   0.18345524 ... -3.5200667  -0.83327526
  2.5550163 ]"
703,I write creatively,I wrote creatively,[-1.2752103  1.5714097 -1.2909869 ... -1.759147   0.5892947  2.8765543],"[-1.9695467   0.6528632  -1.5135261  ... -3.3251522   0.18781269
  2.4927194 ]"
704,You paint beautifully,You painted beautifully,"[-0.5394303   0.96945745  1.2585908  ... -1.366095   -0.9553695
  1.8672795 ]","[-0.2932137   1.4719836   0.5291939  ... -3.1451378  -0.89358765
  1.5872383 ]"
705,It flows smoothly,It flowed smoothly,"[ 1.8120012   2.7643168   0.98359585 ... -1.4867965  -0.29490456
  0.4180319 ]","[ 2.610134    2.0734575   1.1987888  ... -2.147803    0.63301754
  0.08939767]"
706,He works diligently,He worked diligently,"[-0.8039911   1.1996781   1.2922848  ... -0.82899904 -1.8537736
  5.81875   ]","[-1.1320375   1.5695782   0.87152857 ... -0.64684826 -0.7556186
  5.0782204 ]"
707,She studies intently,She studied intently,"[-1.5721059   3.3891182   2.9598677  ... -0.66743237 -4.4755
  3.1302361 ]",[-2.0932245  2.9853582  3.1686487 ... -0.1786516 -3.365397   2.6577718]
708,They learn rapidly,They learned rapidly,"[ 0.668503    5.449242    1.1167809  ... -0.30675426 -1.619947
  3.5791252 ]","[ 0.17607759  5.0762734   0.5434442  ... -0.7336342   0.10517725
  3.369609  ]"
709,We grow steadily,We grew steadily,"[ 2.2899811   4.647505    1.4466681  ... -0.12257347 -1.1370099
  1.501793  ]","[ 2.3209827   2.63819     1.7267214  ... -1.0467751  -0.88659126
  1.8114094 ]"
710,I improve consistently,I improved consistently,"[ 1.4962463   3.4380825   0.02434995 ... -0.9508588   0.7120891
  3.0875318 ]",[ 1.6527733  2.0908225 -0.51684   ... -2.003086   0.9753735  2.6666381]
711,You succeed eventually,You succeeded eventually,"[ 0.5138323   6.947895   -0.85379094 ...  0.2170686   1.6328726
  4.3045254 ]",[ 1.1789502  7.112683  -1.6934444 ... -1.1151363  1.2516971  4.2595053]
712,It happens unexpectedly,It happened unexpectedly,"[-0.29896316  0.3092498   2.0823066  ...  0.98301023 -1.8502254
  2.2162533 ]","[ 0.30281776 -0.29774296  0.7797327  ... -0.955657   -2.4113033
  2.3173378 ]"
713,He acts decisively,He acted decisively,[ 1.7463039  6.415135  -0.7897951 ... -1.0399338 -1.8736868  1.4168732],[ 1.4784867  6.369896  -1.0932045 ... -2.1070945 -1.5234035  0.9033473]
714,She reacts instantly,She reacted instantly,"[ 1.2722511   7.0737934   0.7082947  ...  0.53815615 -1.6582972
  2.8150349 ]","[ 0.34937322  6.5037994  -0.18101847 ... -0.6991841  -1.2237743
  3.0931485 ]"
715,They respond thoughtfully,They responded thoughtfully,"[-0.23379582  5.395299    0.30497152 ... -0.85194397 -2.8920226
  0.85514593]","[-0.11065479  5.400203   -0.08062129 ... -1.956541   -1.9457096
  1.1866105 ]"
716,We cooperate fully,We cooperated fully,"[ 0.6812946   3.5833206  -1.1135579  ... -1.5146861  -0.11796729
  2.5272553 ]",[ 0.648137   1.7727152 -0.6286964 ... -1.8727263 -1.0180576  1.6200411]
717,I compete fiercely,I competed fiercely,[ 2.3777418  2.1809752  0.5535431 ... -1.8005742 -2.9831684  3.2276886],[ 1.1083406  1.9874831 -0.0043325 ... -1.7530819 -2.8657682  3.5532677]
718,You collaborate effectively,You collaborated effectively,"[-0.22170149  4.13105     0.38088664 ... -1.5360684  -1.189086
  2.9559956 ]","[-0.38984692  2.5776403  -1.137046   ... -2.8377895  -0.5953822
  2.8121946 ]"
